Date,Route,Rating,Notes,URL,Pitches,Location,"Avg Stars","Your Stars",Style,"Lead Style","Route Type","Your Rating",Length,"Rating Code"
2024-09-02,"5.10a sport",5.10a,"Sirius at nrocks. Went the wrong way at the first bolt, then hung out to booty a piton",https://www.mountainproject.com/route/112166313/510a-sport,1,"* In Progress > Generic Area",2.6,-1,Lead,Fell/Hung,Sport,,,2600
2024-09-02,Crescendo,5.10a,"Aid rope solo with Revo. Get a connect adjust, they're awesome. 1h6m",https://www.mountainproject.com/route/112197296/crescendo,1,"West Virginia > Eastern WV > Nelson Rocks > West Face, East Fin > Crescendo Wall",3.5,4,TR,,Trad,,120,2600
2024-08-31,Totem,5.11a,"Just P1 to set up a top rope +1 tr pitch to clean. Guiding",https://www.mountainproject.com/route/106243771/totem,2,"West Virginia > Seneca Rocks > South End",2.9,-1,Lead,Redpoint,Trad,,280,4600
2024-08-28,Mushrooms,5.10-,"One TR lap to clean",https://www.mountainproject.com/route/106064720/mushrooms,1,"West Virginia > The New River Gorge Region > New River Gorge Proper > Beauty Mountain > 7) Thunder Buttress",2.8,4,TR,,Trad,,60,2700
2024-08-28,Mushrooms,5.10-,"Fell in the first 8 feet, lowered then got the red point! Dope route, deserves more traffic. On mushrooms ",https://www.mountainproject.com/route/106064720/mushrooms,1,"West Virginia > The New River Gorge Region > New River Gorge Proper > Beauty Mountain > 7) Thunder Buttress",2.8,4,Lead,Redpoint,Trad,,60,2700
2024-08-28,"Screamer Crack",5.8,"Foot slipped and I fell a few feet to the deck before I placed in that first horizontal. Good route though, albeit a tad slippery! You'll want two fives and two fours if you want to avoid bumping almost the whole way",https://www.mountainproject.com/route/105951037/screamer-crack,1,"West Virginia > The New River Gorge Region > New River Gorge Proper > Beauty Mountain > 7) Thunder Buttress",2.7,-1,Lead,Redpoint,Trad,,80,2100
2024-08-27,"Decameron, The",5.10b,,https://www.mountainproject.com/route/106184767/decameron-the,1,"West Virginia > The New River Gorge Region > New River Gorge Proper > Bubba City > 01. Sandstonia",3.6,4,Lead,Onsight,Sport,,90,2900
2024-08-27,Kinesthetica,5.10c,"So sick!!",https://www.mountainproject.com/route/105987545/kinesthetica,1,"West Virginia > The New River Gorge Region > New River Gorge Proper > Bubba City > 01. Sandstonia",3.6,4,Lead,Onsight,Sport,,90,3200
2024-08-27,"Mrs. Field's Follies",5.8,,https://www.mountainproject.com/route/106138609/mrs-fields-follies,1,"West Virginia > The New River Gorge Region > New River Gorge Proper > Bubba City > 01. Sandstonia",3.5,-1,Lead,Onsight,Sport,,95,2100
2024-08-27,"Geisha Girl",5.8,,https://www.mountainproject.com/route/106138127/geisha-girl,1,"West Virginia > The New River Gorge Region > New River Gorge Proper > Bubba City > 01. Sandstonia",3.2,-1,Lead,Onsight,Sport,,95,2100
2024-08-26,Narcissus,5.12a,"About the same as ever ",https://www.mountainproject.com/route/105918466/narcissus,1,"West Virginia > The New River Gorge Region > Summersville (Gauley River) Area > Summersville Lake (main) > Narcissus Cave",3.6,-1,Lead,Fell/Hung,Sport,,55,6600
